         2174169930 function calls (2174169896 primitive calls) in 1374.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      800    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      600    0.001    0.000    0.008    0.000 {method 'any' of 'numpy.ndarray' objects}
     1337    0.004    0.000    0.008    0.000 <frozen posixpath>:256(expanduser)
      627    0.008    0.000    0.008    0.000 {built-in method time.localtime}
      400    0.007    0.000    0.008    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/shape_base.py:372(stack)
      600    0.000    0.000    0.007    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/_methods.py:55(_any)
    13199    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1254    0.001    0.000    0.006    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:968(acquire)
        2    0.000    0.000    0.006    0.003 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:13(glob)
      200    0.000    0.000    0.006    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/fromnumeric.py:588(transpose)
     1026    0.000    0.000    0.006    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:60(_iglob)
      315    0.000    0.000    0.006    0.000 {built-in method builtins.next}
      628    0.004    0.000    0.006    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/colorama/ansitowin32.py:260(convert_osc)
      200    0.002    0.000    0.006    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2842(_get_padding_truncation_strategies)
     1254    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.RLock' objects}
      313    0.005    0.000    0.005    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:104(<genexpr>)
     2508    0.004    0.000    0.005    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
      200    0.002    0.000    0.005    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
     1000    0.001    0.000    0.004    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:334(convert_tokens_to_ids)
      200    0.004    0.000    0.004    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/numeric.py:67(zeros_like)
     5551    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
      200    0.002    0.000    0.004    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:70(concatenate_pad_array)
      600    0.001    0.000    0.004    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1218(pad_token_id)
     1024    0.004    0.000    0.004    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/parquet/core.py:355(metadata)
     1739    0.004    0.000    0.004    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/enum.py:1129(__new__)
      627    0.002    0.000    0.004    0.000 <frozen posixpath>:169(basename)
        2    0.000    0.000    0.004    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:105(_glob1)
      627    0.000    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:674(formatMessage)
      200    0.000    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1881(nonzero)
      313    0.000    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/parquet/core.py:333(__exit__)
      200    0.003    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:418(set_truncation_and_padding)
     1256    0.003    0.000    0.003    0.000 {method 'finditer' of 're.Pattern' objects}
      627    0.000    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:462(format)
     1000    0.001    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:353(_convert_token_to_id_with_added_voc)
      313    0.003    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/parquet/core.py:415(close)
      200    0.000    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/collections/__init__.py:1120(__init__)
      627    0.001    0.000    0.003    0.000 <frozen posixpath>:117(splitext)
     1337    0.002    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/util.py:134(_is_path_like)
     4775    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      200    0.003    0.000    0.003    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      627    0.003    0.000    0.003    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:455(_format)
     1661    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
     1000    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      200    0.001    0.000    0.002    0.000 <frozen _collections_abc>:974(update)
     2363    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      200    0.001    0.000    0.002    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/objects.py:228(check_array_lengths)
6111/6104    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      627    0.002    0.000    0.002    0.000 {built-in method _asyncio.current_task}
        2    0.000    0.000    0.002    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/fnmatch.py:48(filter)
      200    0.000    0.000    0.002    0.000 {method 'min' of 'numpy.ndarray' objects}
     1000    0.002    0.000    0.002    0.000 {method 'token_to_id' of 'tokenizers.Tokenizer' objects}
      200    0.001    0.000    0.002    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/numeric.py:274(full)
     6129    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
     1024    0.001    0.000    0.002    0.000 <frozen posixpath>:71(join)
      207    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
      627    0.001    0.000    0.002    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:668(usesTime)
      200    0.000    0.000    0.002    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/_methods.py:43(_amin)
      627    0.001    0.000    0.002    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:170(<lambda>)
